mes      | V375 alertas: total, tabla, solo OCR | V750 alertas: total, tabla, solo OCR | MODIS: total, tabla, OCR | RUTINA VRP 0 de la tabla: V375/V750/MODIS
2026-01  |   70,   55,   15 (21 % solo OCR)   |   17,   16,    1 ( 6 % solo OCR)   |    2,    2,    0 ( 0 % s | 275 / 346 / 413
2026-02  |  116,   93,   23 (20 % solo OCR)   |   24,   22,    2 ( 8 % solo OCR)   |   14,   14,    0 ( 0 % s | 388 / 499 / 595
2026-03  |  187,  115,   72 (39 % solo OCR)   |   52,   33,   19 (37 % solo OCR)   |   27,   27,    0 ( 0 % s | 422 / 538 / 685
2026-04  |  206,  155,   51 (25 % solo OCR)   |   51,   41,   10 (20 % solo OCR)   |   22,   22,    0 ( 0 % s | 574 / 817 / 647
2026-05  |  296,  198,   98 (33 % solo OCR)   |   52,   49,    3 ( 6 % solo OCR)   |   11,   11,    0 ( 0 % s | 546 / 838 / 691
2026-06  |  238,  164,   74 (31 % solo OCR)   |   50,   47,    3 ( 6 % solo OCR)   |   13,   13,    0 ( 0 % s | 632 / 812 / 713
2026-07  |  155,  118,   37 (24 % solo OCR)   |   21,   20,    1 ( 5 % solo OCR)   |    2,    2,    0 ( 0 % s | 653 / 764 / 742
2026-08  |  126,   92,   34 (27 % solo OCR)   |   26,   26,    0 ( 0 % solo OCR)   |    1,    1,    0 ( 0 % s | 742 / 888 / 618
2026-09  |   85,   76,    9 (11 % solo OCR)   |   10,   10,    0 ( 0 % solo OCR)   |    1,    1,    0 ( 0 % s | 368 / 481 / 299
