2026-08-30T13:05:04Z	NRT Retry (NASA recovery)	schedule
2026-08-30T12:51:39Z	.github/workflows/sync-mirova-csv.yml	schedule
2026-08-30T12:18:20Z	Deploy GitHub Pages	schedule
2026-08-30T12:08:29Z	NRT Monitor — alerta si fallan 3+ corridas	schedule
2026-08-30T11:34:41Z	Tests	push
2026-08-30T11:32:46Z	Tests	pull_request
2026-08-30T11:21:08Z	Tests	push
2026-08-30T11:18:55Z	Tests	pull_request
2026-08-30T11:10:10Z	Tests	push
2026-08-30T11:07:30Z	Tests	pull_request
2026-08-30T11:03:33Z	Deploy GitHub Pages	workflow_run
2026-08-30T10:51:18Z	Tests	push
2026-08-30T10:49:31Z	Tests	pull_request
2026-08-30T10:40:06Z	Tests	push
2026-08-30T10:38:08Z	Tests	pull_request
2026-08-30T10:09:54Z	Tests	push
2026-08-30T10:08:28Z	Tests	pull_request
2026-08-30T10:06:40Z	Tests	push
2026-08-30T10:05:06Z	Tests	pull_request
2026-08-30T09:44:44Z	NRT VRP Pipeline (both profiles)	schedule
2026-08-30T09:21:38Z	Tests	push
2026-08-30T09:20:03Z	Tests	pull_request
2026-08-30T09:17:19Z	Tests	push
2026-08-30T09:12:04Z	Tests	pull_request
2026-08-30T08:59:28Z	Tests	push
2026-08-30T08:58:05Z	Tests	pull_request
2026-08-30T08:51:28Z	Tests	push
2026-08-30T08:49:44Z	Tests	pull_request
2026-08-30T08:35:37Z	Tests	push
2026-08-30T08:34:00Z	Tests	pull_request
2026-08-30T08:25:03Z	Tests	push
2026-08-30T08:23:35Z	Tests	pull_request
2026-08-30T08:19:57Z	Tests	push
2026-08-30T08:18:17Z	Tests	pull_request
2026-08-30T08:12:04Z	Tests	push
2026-08-30T08:10:19Z	Tests	pull_request
2026-08-30T08:06:19Z	Tests	push
2026-08-30T08:04:37Z	Tests	pull_request
2026-08-30T07:35:07Z	Reproc por trozos (generico, cualquier perfil A/B)	workflow_dispatch
2026-08-30T07:35:04Z	Reproc por trozos (generico, cualquier perfil A/B)	workflow_dispatch
2026-08-30T07:34:46Z	Deploy GitHub Pages	push
2026-08-30T07:34:46Z	Tests	push
2026-08-30T07:33:05Z	Tests	pull_request
2026-08-30T07:31:48Z	Tests	push
2026-08-30T07:30:17Z	Tests	pull_request
2026-08-30T06:59:03Z	NRT Retry (NASA recovery)	schedule
2026-08-30T06:37:21Z	.github/workflows/sync-mirova-csv.yml	schedule
2026-08-30T05:56:50Z	Deploy GitHub Pages	schedule
2026-08-30T05:40:48Z	NRT Monitor — alerta si fallan 3+ corridas	schedule
2026-08-30T04:59:17Z	Deploy GitHub Pages	workflow_run
2026-08-30T04:37:48Z	Tests	push
2026-08-30T04:37:48Z	Deploy GitHub Pages	push
2026-08-30T04:36:39Z	Tests	push
2026-08-30T04:35:41Z	Tests	pull_request
2026-08-30T03:47:38Z	NRT VRP Pipeline (both profiles)	schedule
