identidad del predicado: True
sensor MODIS | ventana ('2026-03-01', '2026-09-21') | alertas de MIROVA con record nuestro: 77
   68  hay deteccion pero distance_class no es summit
    9  PUBLICA
por volcan: {'Lascar': {'hay deteccion pero distance_class no es summit': 68, 'PUBLICA': 8}, 'Villarrica': {'PUBLICA': 1}}
   Lascar             2026-04-02 07:45 | MIROVA 0.29 MW (CONS) | regimen pre535 | dc far | n_px 84 | pc.vrp 0.328 | pc.dist 2.877 | vrp_mw 5.0 | t1 False | z 23.06 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-04 07:20 | MIROVA 1.71 MW (CONS) | regimen pre535 | dc far | n_px 45 | pc.vrp 1.835 | pc.dist 1.37 | vrp_mw 50.781 | t1 False | z 25.24 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-07 07:35 | MIROVA 2.29 MW (CONS) | regimen pre535 | dc far | n_px 76 | pc.vrp 0.59 | pc.dist 2.596 | vrp_mw 5.0 | t1 False | z 9.16 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-08 01:50 | MIROVA 1.79 MW (CONS) | regimen pre535 | dc far | n_px 49 | pc.vrp 0.298 | pc.dist 2.244 | vrp_mw 44.763 | t1 False | z 27.04 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-09 07:15 | MIROVA 0.28 MW (CONS) | regimen pre535 | dc far | n_px 57 | pc.vrp 0.393 | pc.dist 0.456 | vrp_mw 61.134 | t1 False | z 36.59 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-10 01:30 | MIROVA 0.78 MW (CONS) | regimen pre535 | dc far | n_px 51 | pc.vrp 0.298 | pc.dist 1.979 | vrp_mw 39.823 | t1 False | z 15.73 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-10 07:55 | MIROVA 0.64 MW (CONS) | regimen pre535 | dc far | n_px 67 | pc.vrp 0.524 | pc.dist 1.171 | vrp_mw 5.0 | t1 False | z 39.36 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-12 07:30 | MIROVA 1.44 MW (CONS) | regimen pre535 | dc far | n_px 90 | pc.vrp 2.162 | pc.dist 2.284 | vrp_mw 93.765 | t1 False | z 5.9 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-15 01:30 | MIROVA 0.82 MW (CONS) | regimen pre535 | dc far | n_px 38 | pc.vrp 0.476 | pc.dist 0.547 | vrp_mw 5.0 | t1 False | z 16.82 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-17 07:25 | MIROVA 0.62 MW (CONS) | regimen pre535 | dc far | n_px 86 | pc.vrp 0.131 | pc.dist 1.548 | vrp_mw 5.0 | t1 False | z 20.02 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-18 01:50 | MIROVA 2.06 MW (CONS) | regimen pre535 | dc far | n_px 48 | pc.vrp 0.952 | pc.dist 0.638 | vrp_mw 5.0 | t1 False | z 25.75 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-23 01:50 | MIROVA 1.70 MW (CONS) | regimen pre535 | dc far | n_px 40 | pc.vrp 0.417 | pc.dist 1.246 | vrp_mw 25.834 | t1 False | z 24.74 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-23 08:00 | MIROVA 0.19 MW (CONS) | regimen pre535 | dc far | n_px 87 | pc.vrp 1.9 | pc.dist 1.017 | vrp_mw 5.0 | t1 False | z 43.22 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-25 01:30 | MIROVA 1.60 MW (CONS) | regimen pre535 | dc far | n_px 46 | pc.vrp 1.488 | pc.dist 1.839 | vrp_mw 5.0 | t1 False | z 18.09 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-25 07:35 | MIROVA 1.28 MW (CONS) | regimen pre535 | dc far | n_px 100 | pc.vrp 3.997 | pc.dist 1.386 | vrp_mw 5.0 | t1 False | z 0.37 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-27 07:15 | MIROVA 0.28 MW (CONS) | regimen pre535 | dc far | n_px 66 | pc.vrp 1.966 | pc.dist 2.052 | vrp_mw 5.0 | t1 False | z 42.43 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-28 01:50 | MIROVA 0.66 MW (CONS) | regimen pre535 | dc far | n_px 55 | pc.vrp 0.119 | pc.dist 0.76 | vrp_mw 5.0 | t1 False | z 24.0 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-28 07:50 | MIROVA 1.31 MW (CONS) | regimen pre535 | dc far | n_px 95 | pc.vrp 1.048 | pc.dist 2.215 | vrp_mw 5.0 | t1 False | z 32.94 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-04-30 07:30 | MIROVA 0.99 MW (CONS) | regimen pre535 | dc far | n_px 84 | pc.vrp 2.031 | pc.dist 0.658 | vrp_mw 5.0 | t1 False | z 14.3 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-05-03 01:45 | MIROVA 1.14 MW (CONS) | regimen pre535 | dc far | n_px 38 | pc.vrp 0.06 | pc.dist 1.429 | vrp_mw 23.096 | t1 False | z 23.26 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-05-06 08:00 | MIROVA 0.28 MW (CONS) | regimen pre535 | dc far | n_px 47 | pc.vrp 1.573 | pc.dist 3.104 | vrp_mw 52.223 | t1 False | z 46.16 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-05-08 07:40 | MIROVA 0.36 MW (CONS) | regimen pre535 | dc far | n_px 101 | pc.vrp 0.197 | pc.dist 1.17 | vrp_mw 5.0 | t1 False | z 5.55 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-05-10 01:25 | MIROVA 1.07 MW (CONS) | regimen pre535 | dc far | n_px 57 | pc.vrp 0.595 | pc.dist 2.388 | vrp_mw 5.0 | t1 False | z 21.19 | descartado partial_eruption_hotspot_too_far
