volcano,dt_utc,sensor_raw,vrp_mw_raw,vrp_mw_meq,final_hotspot_dist_km,final_hotspot_source,distance_class,n_anomalous_pixels,granule,category,vrptir_aveni_mw,discarded_reason
Llaima,2026-05-04 08:30:00+00:00,MODIS_AQUA,751.597,0.0,24.27,eruption,far,119,MYD021KM.A2026124.0830.061.2026124211318.hdf,vrp_mw_gt_100,,
Lastarria,2026-05-22 08:20:00+00:00,MODIS_AQUA,748.213,0.0,23.88,eruption,far,107,MYD021KM.A2026142.0820.061.2026142191650.hdf,vrp_mw_gt_100,,
PlanchonPeteroa,2026-02-01 02:55:00+00:00,MODIS_TERRA,746.631,0.0,22.35,eruption,far,34,MOD021KM.A2026032.0255.061.2026032131637.hdf,vrp_mw_gt_100,,
PlanchonPeteroa,2026-04-18 08:05:00+00:00,MODIS_AQUA,740.104,0.0,26.95,eruption,far,412,MYD021KM.A2026108.0805.061.2026108192232.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-02-11 02:55:00+00:00,MODIS_TERRA,731.292,0.0,23.18,eruption,far,120,MOD021KM.A2026042.0255.061.2026042131214.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-05-09 06:45:00+00:00,MODIS_AQUA,717.33,0.0,26.46,eruption,far,103,MYD021KM.A2026129.0645.061.2026129192449.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-03-21 06:45:00+00:00,MODIS_AQUA,708.624,708.624,18.99,eruption,summit,78,MYD021KM.A2026080.0645.061.2026081005207.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-03-18 08:05:00+00:00,MODIS_AQUA,697.629,697.629,19.87,eruption,summit,154,MYD021KM.A2026077.0805.061.2026078200542.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-04-14 07:15:00+00:00,MODIS_AQUA,692.887,692.887,9.18,eruption,summit,767,MYD021KM.A2026104.0715.061.2026104190730.hdf,vrp_mw_gt_100,,
Copahue,2026-03-08 01:15:00+00:00,MODIS_TERRA,689.282,0.0,10.88,eruption,far,34,MOD021KM.A2026067.0115.061.2026067131051.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-04-26 08:20:00+00:00,MODIS_AQUA,688.503,688.503,15.03,eruption,summit,185,MYD021KM.A2026116.0820.061.2026117113754.hdf,vrp_mw_gt_100,,
Tupungatito,2026-02-13 06:40:00+00:00,MODIS_AQUA,679.551,0.0,23.42,eruption,far,43,MYD021KM.A2026044.0640.061.2026044191554.hdf,vrp_mw_gt_100,,
Chaiten,2026-03-16 08:25:00+00:00,MODIS_AQUA,679.023,0.0,23.2,eruption,far,128,MYD021KM.A2026075.0825.061.2026075192100.hdf,vrp_mw_gt_100,,
PlanchonPeteroa,2026-04-19 07:05:00+00:00,MODIS_AQUA,678.927,0.0,14.68,eruption,far,454,MYD021KM.A2026109.0705.061.2026110155751.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-05-22 06:50:00+00:00,MODIS_AQUA,675.077,675.077,6.54,eruption,summit,96,MYD021KM.A2026142.0650.061.2026142191651.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-05-05 01:25:00+00:00,MODIS_TERRA,671.446,671.446,14.53,eruption,summit,215,MOD021KM.A2026125.0125.061.2026126003315.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-05-17 08:30:00+00:00,MODIS_AQUA,658.125,0.0,21.35,eruption,far,92,MYD021KM.A2026137.0830.061.2026137215151.hdf,vrp_mw_gt_100,,
PuyehueCordonCaulle,2026-05-15 03:00:00+00:00,MODIS_TERRA,657.675,0.0,22.88,eruption,far,105,MOD021KM.A2026135.0300.061.2026135131215.hdf,vrp_mw_gt_100,,
